step,time_s,position_plain,velocity_plain,position_encrypted,velocity_encrypted,u_plain,u_encrypted,state_error,control_error,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
0,0.000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,-18.000000000000,-18.000003081914,0.000000000000e+00,3.081913945380e-06,4.562993,3.440752,2.840033,331096,235116
1,0.050000,0.975217349164,-0.986780730230,0.975217345345,-0.986780882289,-9.166276077992,-9.166276654392,1.521066122634e-07,5.764000245989e-07,6.248725,4.313018,1.958199,333004,235082
2,0.100000,0.912755460605,-1.508479619643,0.912755448579,-1.508479795636,-3.607521523929,-3.607520917551,1.764031998989e-07,6.063777058252e-07,4.222028,4.812940,1.911963,331109,234984
3,0.150000,0.831596282271,-1.735588327936,0.831596262343,-1.735588468047,-0.216232293427,-0.216231434651,1.415202964306e-07,8.587763898893e-07,6.119304,4.630911,1.901283,331611,235119
4,0.200000,0.743635169889,-1.781199963731,0.743635144161,-1.781200055700,1.754766633713,1.754767401928,9.549959141680e-08,7.682153837507e-07,4.295395,6.018235,2.095846,331425,235107
5,0.250000,0.656083943207,-1.719646323619,0.656083913957,-1.719646372649,2.807482773035,2.807483468402,5.709210575917e-08,6.953669977605e-07,6.240740,6.560486,2.319743,331117,235144
6,0.300000,0.573091143795,-1.599184342017,0.573091113061,-1.599184352522,3.277426318835,3.277426727140,3.248000389876e-08,4.083053273263e-07,8.465637,5.181416,4.467365,331086,235062
7,0.350000,0.496829822989,-1.450616504908,0.496829792319,-1.450616491949,3.387303477910,3.387303731461,3.329612433101e-08,2.535512702018e-07,7.338206,4.370925,2.062775,331604,235025
8,0.400000,0.428223844255,-1.293135401905,0.428223814614,-1.293135373761,3.283621719601,3.283621799060,4.087385919904e-08,7.945870317272e-08,7.258007,5.581071,2.049981,331659,235035
9,0.450000,0.367429379773,-1.138275214046,0.367429351692,-1.138275179821,3.061610483481,3.061610425404,4.427055282947e-08,5.807704894778e-08,5.015487,3.943790,1.200898,331616,235071
10,0.500000,0.314151131205,-0.992573876894,0.314151104810,-0.992573843693,2.782157591915,2.782157491900,4.241462750121e-08,1.000154146169e-07,5.501022,3.870523,1.141047,331577,235081
11,0.550000,0.267847404681,-0.859358549593,0.267847379867,-0.859358519623,2.483294387274,2.483294285966,3.890981205393e-08,1.013087072010e-07,4.005334,2.947373,1.114276,331151,235056
12,0.600000,0.227860815842,-0.739936183193,0.227860792442,-0.739936156587,2.187962871988,2.187962717839,3.543268204312e-08,1.541493146462e-07,3.961333,4.096995,1.134445,331090,235047
13,0.650000,0.193499553974,-0.634381442205,0.193499531754,-0.634381421617,1.909250287204,1.909250087951,3.029193151840e-08,1.992532450146e-07,4.014692,2.948484,1.166184,331571,235091
14,0.700000,0.164086055808,-0.542052985744,0.164086034412,-0.542052973354,1.653901374281,1.653901236836,2.472513733669e-08,1.374442404334e-07,4.007529,3.634493,1.124095,331516,235133
15,0.750000,0.138984438024,-0.461927244234,0.138984417122,-0.461927236850,1.424661691551,1.424661550606,2.216832084257e-08,1.409446124256e-07,3.960661,3.007986,1.150253,331101,235105
16,0.800000,0.117614297239,-0.392810224797,0.117614276578,-0.392810222505,1.221829560484,1.221829417950,2.078763846372e-08,1.425336004779e-07,4.120038,2.967740,1.129876,331614,235152
17,0.850000,0.099455948578,-0.333468356837,0.099455927905,-0.333468359601,1.044273958712,1.044273804670,2.085709620150e-08,1.540419016788e-07,5.420822,3.112340,1.136919,331115,235101
18,0.900000,0.084050456785,-0.282706080514,0.084050435835,-0.282706088763,0.890093462250,0.890093344705,2.251473491625e-08,1.175457446934e-07,4.116652,2.971367,1.117162,331036,235084
19,0.950000,0.070996655618,-0.239408820371,0.070996634168,-0.239408832129,0.757035172032,0.757035106234,2.446087658257e-08,6.579837696918e-08,3.957626,2.950699,1.112714,331132,235045
20,1.000000,0.059946573473,-0.202563828761,0.059946551414,-0.202563841329,0.642754221953,0.642754177026,2.538752204194e-08,4.492756344732e-08,4.548717,3.799311,1.134354,331125,235054
21,1.050000,0.050600163503,-0.171267208155,0.050600140823,-0.171267220421,0.544968326268,0.544968258481,2.578435252338e-08,6.778677097419e-08,4.008801,2.950258,1.107093,331624,235070
22,1.100000,0.042699891835,-0.144722597576,0.042699868523,-0.144722610617,0.461544026366,0.461543953769,2.671185299041e-08,7.259762646594e-08,3.975830,3.713611,1.843115,331011,235172
23,1.150000,0.036025510881,-0.122235105329,0.036025486893,-0.122235119297,0.390539199442,0.390539132008,2.775836909494e-08,6.743381691932e-08,4.708866,2.987698,1.113044,331450,235069
24,1.200000,0.030389197621,-0.103202793346,0.030389172920,-0.103202807895,0.330218186261,0.330218190647,2.866738071112e-08,4.386515151111e-09,3.956604,2.945730,1.116330,331076,235121
25,1.250000,0.025631142845,-0.087107166586,0.025631117493,-0.087107178085,0.279050344762,0.279050249578,2.783871225290e-08,9.518484367366e-08,3.969958,2.975104,1.110610,331055,235102
26,1.300000,0.021615618769,-0.073503556736,0.021615592794,-0.073503570118,0.235699094411,0.235699052933,2.921956489706e-08,4.147872828542e-08,3.953709,2.972339,1.152117,331478,235135
27,1.350000,0.018227517284,-0.062011919486,0.018227490662,-0.062011931988,0.199006004509,0.199005973484,2.941176382630e-08,3.102558551737e-08,4.716410,2.985474,1.137890,331640,235112
28,1.400000,0.015369331121,-0.052308325090,0.015369303910,-0.052308336157,0.167972803083,0.167972717635,2.937584017825e-08,8.544823537626e-08,3.961543,2.963092,1.749982,331521,235071
29,1.450000,0.012958540050,-0.044117269728,0.012958512254,-0.044117282025,0.141743071798,0.141743061333,3.039463335647e-08,1.046425879281e-08,4.882820,2.959576,1.120017,331620,235134
30,1.500000,0.010925360223,-0.037204840815,0.010925331876,-0.037204850551,0.119584662908,0.119584572478,2.997237105750e-08,9.043084349403e-08,4.024490,4.211839,1.234792,331603,235082
31,1.550000,0.009210814532,-0.031372713302,0.009210785663,-0.031372724438,0.100873401481,0.100873383091,3.094265466691e-08,1.839083876853e-08,4.047423,2.941892,1.118625,331680,235016
32,1.600000,0.007765083760,-0.026452922669,0.007765054390,-0.026452931562,0.085078335008,0.085078298308,3.068661979042e-08,3.670049517068e-08,3.955341,2.951190,1.116150,331599,234876
33,1.650000,0.006546101440,-0.022303344880,0.006546071659,-0.022303352444,0.071748605564,0.071748569456,3.072683814579e-08,3.610856476322e-08,4.027235,2.957010,1.107985,331567,235113
34,1.700000,0.005518358950,-0.018803808112,0.005518328824,-0.018803814314,0.060501907855,0.060501871518,3.075709234387e-08,3.633610189124e-08,4.285887,3.629133,1.120047,331676,235087
