step,time_s,sensor_position,sensor_velocity,u_from_encrypted_controller,u_plain_validation,control_error,next_position,next_velocity,state_change_norm,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
0,0.000000,1.000000000000,0.000000000000,-18.000003081914,-18.000000000000,3.081913945380e-06,0.975217345345,-0.986780882289,9.870920370577e-01,4.562993,3.440752,2.840033,331096,235116
1,0.050000,0.975217345345,-0.986780882289,-9.166276654392,-9.166274716753,1.937638868910e-06,0.912755448579,-1.508479795636,5.254248231052e-01,6.248725,4.313018,1.958199,333004,235082
2,0.100000,0.912755448579,-1.508479795636,-3.607520917551,-3.607519811520,1.106030797171e-06,0.831596262343,-1.735588468047,2.411745479824e-01,4.222028,4.812940,1.911963,331109,234984
3,0.150000,0.831596262343,-1.735588468047,-0.216231434651,-0.216230743783,6.908681703388e-07,0.743635144161,-1.781200055700,9.908367797000e-02,6.119304,4.630911,1.901283,331611,235119
4,0.200000,0.743635144161,-1.781200055700,1.754767401928,1.754767878544,4.766163881342e-07,0.656083913957,-1.719646372649,1.070237067543e-01,4.295395,6.018235,2.095846,331425,235107
5,0.250000,0.656083913957,-1.719646372649,2.807483468402,2.807483716285,2.478829639330e-07,0.573091113061,-1.599184352522,1.462836398707e-01,6.240740,6.560486,2.319743,331117,235144
6,0.300000,0.573091113061,-1.599184352522,3.277426727140,3.277426961343,2.342022629165e-07,0.496829792319,-1.450616491949,1.669975994931e-01,8.465637,5.181416,4.467365,331086,235062
7,0.350000,0.496829792319,-1.450616491949,3.387303731461,3.387303919830,1.883683506954e-07,0.428223814614,-1.293135373761,1.717762578544e-01,7.338206,4.370925,2.062775,331604,235025
8,0.400000,0.428223814614,-1.293135373761,3.283621799060,3.283622013918,2.148585083184e-07,0.367429351692,-1.138275179821,1.663660013021e-01,7.258007,5.581071,2.049981,331659,235035
9,0.450000,0.367429351692,-1.138275179821,3.061610425404,3.061610698018,2.726140371223e-07,0.314151104810,-0.992573843693,1.551368780799e-01,5.015487,3.943790,1.200898,331616,235071
10,0.500000,0.314151104810,-0.992573843693,2.782157491900,2.782157784801,2.929008120489e-07,0.267847379867,-0.859358519623,1.410331787583e-01,5.501022,3.870523,1.141047,331577,235081
11,0.550000,0.267847379867,-0.859358519623,2.483294285966,2.483294579194,2.932286147228e-07,0.227860792442,-0.739936156587,1.259389850960e-01,4.005334,2.947373,1.114276,331151,235056
12,0.600000,0.227860792442,-0.739936156587,2.187962717839,2.187963067033,3.491945372858e-07,0.193499531754,-0.634381421617,1.110067489415e-01,3.961333,4.096995,1.134445,331090,235047
13,0.650000,0.193499531754,-0.634381421617,1.909250087951,1.909250512174,4.242233520024e-07,0.164086034412,-0.542052973354,9.690044470796e-02,4.014692,2.948484,1.166184,331571,235091
14,0.700000,0.164086034412,-0.542052973354,1.653901236836,1.653901654096,4.172595997609e-07,0.138984417122,-0.461927236850,8.396561701600e-02,4.007529,3.634493,1.124095,331516,235133
15,0.750000,0.138984417122,-0.461927236850,1.424661550606,1.424662005027,4.544213014768e-07,0.117614276578,-0.392810222505,7.234531483655e-02,3.960661,3.007986,1.150253,331101,235105
16,0.800000,0.117614276578,-0.392810222505,1.221829417950,1.221829912895,4.949450493896e-07,0.099455927905,-0.333468359601,6.205789490065e-02,4.120038,2.967740,1.129876,331614,235152
17,0.850000,0.099455927905,-0.333468359601,1.044273804670,1.044274354320,5.496504276170e-07,0.084050435835,-0.282706088763,5.304844320478e-02,5.420822,3.112340,1.136919,331115,235101
18,0.900000,0.084050435835,-0.282706088763,0.890093344705,0.890093909452,5.647470195935e-07,0.070996634168,-0.239408832129,4.522227515333e-02,4.116652,2.971367,1.117162,331036,235084
19,0.950000,0.070996634168,-0.239408832129,0.757035106234,0.757035658069,5.518344570188e-07,0.059946551414,-0.202563841329,3.846631872091e-02,3.957626,2.950699,1.112714,331132,235045
20,1.000000,0.059946551414,-0.202563841329,0.642754177026,0.642754725832,5.488062708725e-07,0.050600140823,-0.171267220421,3.266242292206e-02,4.548717,3.799311,1.134354,331125,235054
21,1.050000,0.050600140823,-0.171267220421,0.544968258481,0.544968838766,5.802850983061e-07,0.042699868523,-0.144722610617,2.769531751241e-02,4.008801,2.950258,1.107093,331624,235070
22,1.100000,0.042699868523,-0.144722610617,0.461543953769,0.461544556834,6.030655257394e-07,0.036025486893,-0.122235119297,2.345708072206e-02,3.975830,3.713611,1.843115,331011,235172
23,1.150000,0.036025486893,-0.122235119297,0.390539132008,0.390539749954,6.179454727362e-07,0.030389172920,-0.103202807895,1.984935546840e-02,4.708866,2.987698,1.113044,331450,235069
24,1.200000,0.030389172920,-0.103202807895,0.330218190647,0.330218754548,5.639009792446e-07,0.025631117493,-0.087107178085,1.678417082869e-02,3.956604,2.945730,1.116330,331076,235121
25,1.250000,0.025631117493,-0.087107178085,0.279050249578,0.279050898855,6.492778516498e-07,0.021615592794,-0.073503570118,1.418388481053e-02,3.969958,2.975104,1.110610,331055,235102
